,Navigasi,Link
0,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3652776/hoaks-foto-pesawat-jatuh-di-karawang-pada-25-juli
1,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3565725/disinformasi-johnny-g-plate-dihukum-mati-pada-30-mei
2,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/1942988/liga-spanyol-atletico-madrid-puncaki-klasemen-sementara-setelah-kalahkan-sevilla
3,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3143217/bellerin-alami-masalah-betis-krisis-cedera-barcelona-makin-parah
4,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2983629/hoaks-video-menampilkan-sosok-makhluk-aneh-dalam-hutan
5,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1935524/skuat-real-madrid-terjebak-di-pesawat-karena-cuaca-buruk
6,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3337371/misinformasi-rupiah-jadi-alat-tukar-di-lima-negara
7,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3492009/hoaks-raja-arab-saudi-salman-wafat
8,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3833187/anggota-dpr-power-wheeling-akibatkan-sulit-kendalikan-tarif-listrik
9,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2936997/hoaks-jokowi-bagikan-kaus-3-periode
10,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3684786/barcelona-tunjuk-deco-jadi-direktur-olahraga-baru
11,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3479592/hoaks-heru-budi-tersangka-korupsi-ratusan-triliun
12,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3324489/hoaks-jakarta-nyaris-hilang-dari-peta-akibat-puting-beliung
13,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3407934/hoaks-menag-yaqut-pindahkan-shalat-jumat-pada-sabtu
14,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3010317/etienne-capoue-perpanjang-kontrak-di-villarreal-hingga-2024
15,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3465498/laliga-rilis-video-review-system-untuk-hindari-risiko-cedera-pemain
16,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3367272/real-madrid-dan-bilbao-ke-semifinal-copa-del-rey
17,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3226401/atletico-madrid-bermain-imbang-1-1-lawan-espanyol
18,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2826041/lopetegui-tegaskan-sevilla-sudah-tak-sabar-hadapi-real-madrid
19,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2402969/sevilla-jegal-ambisi-sociedad-ke-puncak-klasemen
20,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3691158/hoaks-prabowo-gagal-nyapres-mk-kabulkan-batas-usia-capres-70-tahun-pada-20-agustus
21,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2010963/real-pangkas-jarak-dengan-atletico-usai-tundukkan-valladolid-1-0
22,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1964588/hazard-dan-benzema-bawa-real-gulung-alaves-4-1
23,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2587709/luka-modrid-dan-marcelo-positif-terpapar-covid-19
24,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2526065/hoaks-kelangkaan-bbm-akibat-kebakaran-kilang-pertamina-di-cilacap
25,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2857881/tiga-pertandingan-liga-spanyol-berakhir-1-1
26,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2662397/ancelotti-pastikan-eden-hazard-tidak-dijual
27,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2153826/sebagian-laga-dua-pekan-akhir-liga-spanyol-boleh-dihadiri-penonton
28,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2877389/hoaks-maruf-amin-shalat-jenazah-dengan-rukuk-dan-sujud
29,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2902065/bahan-bacaan-harus-disesuaikan-dengan-kebutuhan-masyarakat
30,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2772801/real-madrid-dibantai-barcelona-carlo-ancelotti-minta-maaf
31,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3038693/hoaks-pemerintah-luncurkan-situs-portal-gim-anak-bangsa
32,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3681234/disinformasi-jokowi-resmi-tunjuk-ahok-sebagai-gubernur-dki-jakarta-lagi-pada-awal-agustus
33,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2927857/gantikan-diego-carlos-sevilla-incar-bek-galatasaray-marcao
34,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1819212/geoffrey-kondogbia-resmi-jadi-rekrutan-baru-atletico-madrid
35,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3235937/hoaks-demam-reda-dengan-baluran-telur-rebus
36,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3531522/hoaks-ahok-ditetapkan-jadi-pendamping-ganjar-dalam-pemilu
37,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3190329/real-madrid-kokoh-di-puncak-klasemen-usai-menang-3-0-atas-elche
38,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3265601/hoaks-pergeseran-tanah-setelah-gempa-cianjur
39,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1973436/bilbao-lengkapi-jajaran-peserta-perempat-final-copa-del-rey
40,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1892512/kritik-bikin-madrid-kian-kuat-kata-zidane-seusai-menangi-derby
41,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2358706/klasemen-liga-spanyol-enam-tim-teratas-punya-poin-sama
42,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2186070/aguero-yakin-lionel-messi-tetap-bersama-barcelona
43,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3371376/hoaks-video-rekaman-terakhir-saat-kapal-titanic-tenggelam
44,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3448188/hoaks-laporan-surat-tilang-di-whatsapp-dengan-format-apk
45,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2653997/misinformasi-empat-orang-digulung-tsunami-tonga-dalam-video-tv-australia
46,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3641601/hoaks-foto-megawati-resmi-jadikan-puan-sebagai-bakal-cawapres-anies
47,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2757421/real-betis-geser-barca-dari-empat-besar-usai-tekuk-bilbao-1-0
48,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2327266/barcelona-berhasil-daftarkan-memphis-depay-eric-garcia-dan-rey-manaj
49,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2611993/barcelona-resmi-rampungkan-transfer-ferran-torres-dari-manchester-city
50,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3712737/villarreal-pecat-pelatih-quique-setien-setelah-catatkan-start-buruk
51,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2797893/penyerang-barcelona-luuk-de-jong-positif-covid-19
52,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3052513/hoaks-kulit-jeruk-bisa-putihkan-gigi
53,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2537833/bungkam-granada-4-1-real-madrid-puncaki-klasemen
54,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3033413/hoaks-video-penyelundupan-wanita-tuna-susila-dari-china
55,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2908385/luka-modric-dan-toni-kroos-konfirmasi-bertahan-di-real-madrid
56,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2635185/antoine-griezmann-tegaskan-tak-ingin-tinggalkan-atletico-madrid
57,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2106990/zidane-saya-bukan-pelatih-yang-buruk-tapi-juga-bukan-yang-terbaik
58,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3046705/hoaks-cacar-monyet-merupakan-kipi-dari-vaksin
59,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3345288/misinformasi-pemerintah-cetak-ribuan-ktp-wna-china-untuk-pemilu-2024
60,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3032597/joao-felix-siap-hadapi-tantangan-di-musim-ini-bersama-atletico-madrid
61,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/2120270/la-liga-real-madrid-bermain-imbang-dengan-real-betis-0-0
62,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3464862/hoaks-act-kembali-kumpukan-dana-untuk-palestina
63,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/3537885/liga-spanyol-real-madrid-menang-1-0-atas-getafe
64,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1926028/eibar-pungkasi-tren-nirmenang-ketika-sociedad-imbang-lawan-osasuna
65,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3601005/hoaks-undangan-tahapan-seleksi-kerja-bpjs-kesehatan
66,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3701001/waspada-pesan-tugas-berhadiah-mengatasnamakan-traveloka
67,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2959405/misinformasi-lemon-lebih-ampuh-atasi-kanker-dibandingkan-kemoterapi
68,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2738449/ajak-gabung-barcelona-xavi-temui-langsung-erling-haaland
69,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/2342734/liga-spanyol-athletic-bilbao-tahan-barcelona-1-1
70,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1923288/osasuna-dan-alaves-berbagi-poin-di-laga-pemungkas-2020
71,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3722100/disinformasi-rapat-rahasia-antara-jokowi-sby-dan-megawati-pada-awal-september
72,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3755895/hoaks-video-bayi-selamat-dari-runtuhan-gempa-maroko
73,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2450245/hoaks-semua-pemilik-ktp-wajib-bayar-pajak
74,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3002189/hoaks-pasangan-di-ghana-wajib-gunakan-pakaian-pengantin-saat-bercerai
75,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3141545/hoaks-jet-tempur-jerman-tembak-jet-indonesia
76,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3303867/hoaks-foto-sungai-ciliwung-sebelum-dan-sesudah-era-heru-budi
77,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1985852/gol-larut-roberto-soldado-selamatkan-granada-dari-kekalahan-di-levante
78,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3125333/hoaks-mahfud-minta-kpk-tangkap-semua-buzzer
79,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2133782/hajar-osasuna-2-0-real-madrid-terus-tempel-atletico
80,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3089369/hoaks-kapolri-tarik-komjen-firli-bahuri-dari-kpk
81,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2041210/zidane-ragukan-masa-depan-sergio-ramos-di-madrid
82,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/2382913/luuk-de-jong-bergabung-dengan-barcelona
83,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1879504/real-madrid-kembali-ke-jalur-kemenangan-dibantu-gol-bunuh-diri-sevilla
84,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2711601/hoaks-jokowi-kembali-diangkat-sebagai-presiden-pada-2024
85,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3178729/hoaks-twice-konser-di-depan-pendukung-persib
86,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2653509/xavi-akui-ousmane-dembele-bisa-tinggalkan-barcelona-di-januari
87,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3209169/hoaks-pemerintahan-jokowi-belum-akuisisi-saham-pt-freeport-indonesia
88,https://bengkulu.antaranews.com/38,https://kalsel.antaranews.com/berita/395226/bre-cup-u-14-jaring-50-pesepakbola-tapin-berbakat
89,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2769361/hoaks-arab-saudi-tidak-wajibkan-masker-bagi-jemaah-masjidil-haram
90,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2981093/franck-kessie-akui-tak-sabar-bermain-untuk-barcelona
91,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3061541/hoaks-ayah-rizieq-shihab-dalam-foto-bersama-soekarno-dan-soedirman
92,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2689793/misinfomasi-petugas-suntik-paksa-vaksin-ke-masyarakat
93,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2406869/hoaks-tutup-hidung-dengan-bawang-putih-dapat-keluarkan-lendir-dari-paru-paru
94,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3377976/real-madrid-kembali-ke-jalur-kemenangan-usai-tekuk-valencia-2-0
95,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2284126/barcelona-persilakan-miralem-pjanic-dan-samuel-umtiti-untuk-hengkang
96,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2639601/hoaks-facebook-minta-sertifikat-vaksin-covid-19-untuk-akses-akun
97,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3606996/barcelona-resmi-umumkan-transfer-ilkay-gundogan
98,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3353976/sociedad-dan-sevilla-amankan-tiket-16-besar-lewat-kemenangan-tipis
99,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3424086/hoaks-hakim-wahyu-iman-santoso-alami-kecelakaan-usai-vonis-mati-ferdy-sambo
100,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3609426/hoaks-foto-anies-bersama-raja-salman-di-makkah-saat-tawaf
